Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796288,1.409251,12232.106251,12232.106251,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796289,1.422387,12232.119387,12232.119387,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,18,-99.000000
13685,796290,1.433063,12232.130063,12232.130063,1, 0, 0, 1,30.780186,-29.095280,321.199559,2,2,-0.135371
13685,796291,1.441615,12232.138615,12232.138615,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796292,1.449607,12232.146607,12232.146607,1, 0, 0, 1,-9.646284,-34.960113,381.372775,2,2,-0.128791
13685,796293,1.505992,12232.202992,12232.202992,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796294,1.577322,12232.274322,12232.274322,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796295,1.599072,12232.296072,12232.296072,1, 0, 0, 1,4.417306,-39.584924,-12.300344,2,2,-0.113943
13685,796296,1.607108,12232.304108,12232.304108,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796297,1.617859,12232.314859,12232.314859,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796298,1.624660,12232.321660,12232.321660,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796299,1.650336,12232.347336,12232.347336,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796300,1.717195,12232.414195,12232.414195,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796301,1.721020,12232.418020,12232.418020,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796302,1.725620,12232.422620,12232.422620,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796303,1.749336,12232.446336,12232.446336,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
